Date : 2020-02-19 21:53:57
Directory : c:\Users\bilal\Desktop\BayimSu\crm
Total : 228 files,  33570 codes, 1244 comments, 5428 blanks, all 40242 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\redux                                                                                            |         97 |      5,043 |         38 |      1,306 |      6,387 |
| src\redux\actions                                                                                    |         35 |      2,747 |         29 |        928 |      3,704 |
| src\redux\models                                                                                     |         21 |        190 |          0 |         30 |        220 |
| src\redux\reducers                                                                                   |         34 |      1,548 |          8 |        175 |      1,731 |
| src\redux\services                                                                                   |          3 |         77 |          0 |         28 |        105 |
| src\screens                                                                                          |         49 |     13,899 |        902 |      3,609 |     18,410 |
| src\screens\AppScreens                                                                               |         40 |     11,763 |        798 |      2,998 |     15,559 |
| src\screens\AppScreens\Blank                                                                         |          2 |         40 |          0 |          6 |         46 |
| src\screens\AppScreens\Customer                                                                      |          9 |      4,142 |        196 |      1,083 |      5,421 |
| src\screens\AppScreens\Employee                                                                      |          4 |      1,437 |         13 |        205 |      1,655 |
| src\screens\AppScreens\Home                                                                          |          5 |      1,735 |         90 |        422 |      2,247 |
| src\screens\AppScreens\Introduction                                                                  |          1 |        124 |          2 |         66 |        192 |
| src\screens\AppScreens\Notification                                                                  |          1 |        253 |        175 |         95 |        523 |
| src\screens\AppScreens\Order                                                                         |          1 |        273 |         82 |        114 |        469 |
| src\screens\AppScreens\Product                                                                       |          4 |      1,041 |         31 |        247 |      1,319 |
| src\screens\AppScreens\Profile                                                                       |          7 |      1,250 |         97 |        387 |      1,734 |
| src\screens\AppScreens\Report                                                                        |          5 |      1,439 |        112 |        368 |      1,919 |
| src\screens\AppScreens\SideBar                                                                       |          1 |         29 |          0 |          5 |         34 |
| src\screens\AuthLoading                                                                              |          1 |        137 |          3 |         48 |        188 |
| src\screens\AuthScreens                                                                              |          7 |      1,181 |         47 |        463 |      1,691 |
| src\screens\AuthScreens\Introduction                                                                 |          1 |        115 |          8 |         26 |        149 |
| src\screens\AuthScreens\Login                                                                        |          3 |        420 |         10 |        142 |        572 |
| src\screens\AuthScreens\SignUp                                                                       |          3 |        646 |         29 |        295 |        970 |
| src\services                                                                                         |          2 |        106 |          0 |         55 |        161 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                             | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\bilal\Desktop\BayimSu\crm\.eslintrc.js                                                      | JavaScript       |          4 |          0 |          0 |          4 |
| c:\Users\bilal\Desktop\BayimSu\crm\.gitattributes                                                    | Properties       |          1 |          0 |          1 |          2 |
| c:\Users\bilal\Desktop\BayimSu\crm\.prettierrc.js                                                    | JavaScript       |          6 |          0 |          1 |          7 |
| c:\Users\bilal\Desktop\BayimSu\crm\.watchmanconfig                                                   | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\bilal\Desktop\BayimSu\crm\App.tsx                                                           | TypeScript React |         36 |          0 |          5 |         41 |
| c:\Users\bilal\Desktop\BayimSu\crm\AppBase.tsx                                                       | TypeScript React |         40 |          0 |         14 |         54 |
| c:\Users\bilal\Desktop\BayimSu\crm\README.md                                                         | Markdown         |         21 |          0 |         15 |         36 |
| c:\Users\bilal\Desktop\BayimSu\crm\__tests__\App-test.js                                             | JavaScript       |          7 |          4 |          4 |         15 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\build.gradle                                          | Groovy           |         92 |        108 |         24 |        224 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\google-services.json                                  | JSON             |         47 |          0 |          0 |         47 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\debug\AndroidManifest.xml                         | XML              |          6 |          0 |          3 |          9 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\AndroidManifest.xml                          | XML              |         37 |          0 |          7 |         44 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\java\com\bayimsu\MainActivity.java           | Java             |         19 |          4 |          8 |         31 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\java\com\bayimsu\MainApplication.java        | Java             |         61 |         11 |          8 |         80 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\res\values\strings.xml                       | XML              |          5 |          0 |          1 |          6 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\res\values\styles.xml                        | XML              |          5 |          2 |          3 |         10 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\app\src\main\res\xml\network_security_config.xml          | XML              |          6 |          0 |          0 |          6 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\assets\appcenter-config.json                              | JSON             |          3 |          0 |          0 |          3 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\build.gradle                                              | Groovy           |         34 |          9 |          6 |         49 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\gradle.properties                                         | Properties       |          7 |         13 |          9 |         29 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\gradle\wrapper\gradle-wrapper.properties                  | Properties       |          5 |          0 |          1 |          6 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\gradlew.bat                                               | Batch            |         76 |          0 |         25 |        101 |
| c:\Users\bilal\Desktop\BayimSu\crm\android\settings.gradle                                           | Groovy           |          5 |          0 |          1 |          6 |
| c:\Users\bilal\Desktop\BayimSu\crm\app.json                                                          | JSON             |          4 |          0 |          0 |          4 |
| c:\Users\bilal\Desktop\BayimSu\crm\babel.config.js                                                   | JavaScript       |          8 |          0 |          1 |          9 |
| c:\Users\bilal\Desktop\BayimSu\crm\debug.log                                                         | Log              |         18 |          0 |          1 |         19 |
| c:\Users\bilal\Desktop\BayimSu\crm\index.js                                                          | JavaScript       |          5 |          3 |          3 |         11 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSuTests\BayimSuTests.m                                   | Objective-C      |         51 |          6 |         16 |         73 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\AppDelegate.h                                         | C++              |          5 |          6 |          5 |         16 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\AppDelegate.m                                         | Objective-C      |         42 |          6 |         18 |         66 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Base.lproj\LaunchScreen.xib                           | XML              |         46 |          0 |          1 |         47 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\AppIcon.appiconset\Contents.json      | JSON             |        122 |          0 |          0 |        122 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\Contents.json                         | JSON             |          6 |          0 |          0 |          6 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\README.md                             | Markdown         |         15 |          0 |         10 |         25 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\Images.xcassets\bayimsulogo.imageset\Contents.json    | JSON             |         21 |          0 |          0 |         21 |
| c:\Users\bilal\Desktop\BayimSu\crm\ios\BayimSu\main.m                                                | Objective-C      |          7 |          6 |          4 |         17 |
| c:\Users\bilal\Desktop\BayimSu\crm\jest.config.js                                                    | JavaScript       |          4 |          0 |          1 |          5 |
| c:\Users\bilal\Desktop\BayimSu\crm\metro.config.js                                                   | JavaScript       |         10 |          6 |          2 |         18 |
| c:\Users\bilal\Desktop\BayimSu\crm\package-lock.json                                                 | JSON             |     10,637 |          0 |          1 |     10,638 |
| c:\Users\bilal\Desktop\BayimSu\crm\package.json                                                      | JSON             |         95 |          0 |          1 |         96 |
| c:\Users\bilal\Desktop\BayimSu\crm\react-native.config.js                                            | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\AutoExpandingTextInput.tsx                         | TypeScript React |         24 |          0 |          2 |         26 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\AvatarItem.tsx                                     | TypeScript React |         52 |          0 |          4 |         56 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\Button.tsx                                         | TypeScript React |         35 |          0 |          4 |         39 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\CallDetecterComponent.tsx                          | TypeScript React |        101 |         13 |         21 |        135 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\Cursor.tsx                                         | TypeScript React |         69 |          1 |          3 |         73 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\EmployeeItem.tsx                                   | TypeScript React |         39 |          0 |          9 |         48 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\Graph.tsx                                          | TypeScript React |         68 |          0 |          6 |         74 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\Header.tsx                                         | TypeScript React |         64 |          0 |          5 |         69 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\HeaderLeft.tsx                                     | TypeScript React |         64 |          0 |          4 |         68 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\HeaderLeftRight.tsx                                | TypeScript React |         72 |          0 |          4 |         76 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\IconBadge.tsx                                      | TypeScript React |         31 |          2 |          3 |         36 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\InfoItem.tsx                                       | TypeScript React |         44 |          0 |          5 |         49 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\Input.tsx                                          | TypeScript React |         29 |          0 |          4 |         33 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\ListItem.tsx                                       | TypeScript React |         38 |          0 |          4 |         42 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\NotificationIconBadge.tsx                          | TypeScript React |         43 |          1 |          7 |         51 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\components\index.ts                                           | TypeScript       |          7 |          0 |          1 |          8 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\constants\colors.ts                                           | TypeScript       |          7 |          0 |          1 |          8 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\constants\index.ts                                            | TypeScript       |          1 |          0 |          1 |          2 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\file1.svg                                              | XML              |          6 |          0 |          1 |          7 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\file-1.svg                                 | XML              |          7 |          1 |          1 |          9 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\svgs.tsx                                   | TypeScript React |         52 |          3 |          9 |         64 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\user-plus-1.svg                            | XML              |          7 |          1 |          1 |          9 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\user.svg                                   | XML              |          5 |          1 |          1 |          7 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\users-1.svg                                | XML              |          7 |          1 |          1 |          9 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo-external-svg.html                         | HTML             |         41 |          0 |          1 |         42 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo-files\demo.css                            | CSS              |        146 |          0 |          2 |        148 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo.html                                      | HTML             |         71 |          0 |          2 |         73 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\selection.json                                 | JSON             |        310 |          0 |          0 |        310 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\style.css                                      | CSS              |         20 |          7 |          6 |         33 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\svgxuse.js                                     | JavaScript       |        206 |         24 |          1 |        231 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\symbol-defs.svg                                | XML              |         30 |          0 |          1 |         31 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\user-plus 1.svg                                        | XML              |          6 |          0 |          1 |          7 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\user.svg                                               | XML              |          4 |          0 |          1 |          5 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\images\users 1.svg                                            | XML              |          6 |          0 |          1 |          7 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\navigation\AppNavigation.tsx                                  | TypeScript React |        283 |         18 |         37 |        338 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\package-lock.json                                             | JSON             |         59 |          0 |          1 |         60 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\package.json                                                  | JSON             |          7 |          0 |          1 |          8 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addCashAction.tsx                               | TypeScript React |         47 |          0 |         20 |         67 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addOrderAction.tsx                              | TypeScript React |         84 |          0 |         39 |        123 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addUserAction.tsx                               | TypeScript React |         29 |          0 |          8 |         37 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\createUserAction.tsx                            | TypeScript React |         40 |          0 |         10 |         50 |
