filename, language, JSON, Properties, JavaScript, TypeScript React, Log, Batch, Markdown, Groovy, C++, Objective-C, TypeScript, XML, HTML, CSS, Java, comment, blank, total
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerpriceAddAction.tsx, TypeScript React, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 59
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\deleteEmployeeAction.tsx, TypeScript React, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\deleteEmployeeCostAction.tsx, TypeScript React, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\deleteOrderAction.tsx, TypeScript React, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 62
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\editEmployeeAction.tsx, TypeScript React, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 137
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\editEmployeeCostAction.tsx, TypeScript React, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\editOrderAction.tsx, TypeScript React, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\employeeAction.tsx, TypeScript React, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 72
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\employeeAddAction.tsx, TypeScript React, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\employeeCostAction.tsx, TypeScript React, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 57
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\fetch.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\getEmployeeCostAction.tsx, TypeScript React, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 64
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\getUserAction.tsx, TypeScript React, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 64
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\homeAction.tsx, TypeScript React, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63, 228
